tier,semantic_overall,semantic_experience,semantic_projects,semantic_skills_context,semantic_education,keyword_score,required_skill_coverage,preferred_skill_coverage,tfidf_similarity,skill_count,required_skill_count,matched_required_count,missing_required_count,experience_relevance,project_relevance,education_relevance,relevance_label
MEDIUM,0.6104877728931293,0.5981273185531373,0.5548123639594731,0.5925790675426893,0.4515911201523126,0.43468783413056833,0.5764860037680567,0.13312238555332667,0.3108587737953449,14,8,5,3,0.5981273185531373,0.5548123639594731,0.4515911201523126,62.46
LOW,0.1712616638450824,0.05418630369812215,0.12400510272800348,0.19651006413230965,0.24046852678038105,0.07442303488110427,0.112509939470767,0.034585355993220344,0.0,1,8,1,7,0.05418630369812215,0.12400510272800348,0.24046852678038105,0.0
MEDIUM,0.5848632876951174,0.5773222833549129,0.4442450163865869,0.46749966806383814,0.622329012589412,0.3443464692268632,0.3568866128088954,0.13064288430907203,0.5204296233985577,7,14,5,9,0.5773222833549129,0.4442450163865869,0.622329012589412,31.16
HIGH,0.8728697644405592,0.7939211981663001,0.8532475367651904,0.9350567705254987,0.6544854425550533,0.723594090599434,0.8699075143015921,0.6232354070967918,0.38501250299560225,16,8,7,1,0.7939211981663001,0.8532475367651904,0.6544854425550533,87.39
HIGH,0.7471538522545138,0.8281711176801001,0.7595881984679911,0.7752943649264501,0.5283232313359464,0.7587375918068334,0.9000067514473131,0.5056883932914306,0.587979311400797,20,8,7,1,0.8281711176801001,0.7595881984679911,0.5283232313359464,90.09
MEDIUM,0.3584331348366279,0.2694402170779545,0.45372457108373715,0.379453072848399,0.2989175347248006,0.3509908885517946,0.28831210195387114,0.5354876963116362,0.3545304405857235,7,6,2,4,0.2694402170779545,0.45372457108373715,0.2989175347248006,27.61
MEDIUM,0.41493945770357343,0.4066603962582966,0.3947812674470226,0.4271444586717709,0.4376068176918171,0.22376302784873464,0.16500123386030544,0.3026299470980631,0.32118149056469364,5,9,1,8,0.4066603962582966,0.3947812674470226,0.4376068176918171,10.05
MEDIUM,0.6572820256997022,0.5345731133064111,0.7263882667955572,0.6310000078498706,0.4539649834069068,0.38306195741518456,0.3920652233944077,0.28310876552882464,0.456005351363875,12,9,4,5,0.5345731133064111,0.7263882667955572,0.4539649834069068,46.89
MEDIUM,0.659272143140135,0.694391595839199,0.7255111972838998,0.6355464668573584,0.468145081784015,0.40853592633201247,0.4453864265049585,0.5479167869189706,0.15860356522621613,10,10,4,6,0.694391595839199,0.7255111972838998,0.468145081784015,51.3
HIGH,0.8820646157646801,0.9405265910557716,0.7563013953124208,0.876708361932824,0.5002445117757944,0.8308725163590324,0.858537612610698,0.9522456866553444,0.6265040573077235,16,7,6,1,0.9405265910557716,0.7563013953124208,0.5002445117757944,92.35
MEDIUM,0.3694631667124103,0.3944239244365098,0.461888129600946,0.41816408449036546,0.029495265838877183,0.5002077153909712,0.595655009354539,0.3644067146465156,0.34966683424472317,9,11,7,4,0.3944239244365098,0.461888129600946,0.029495265838877183,31.14
HIGH,0.5418405600546057,0.6599164838988864,0.5713090890706584,0.609567278922078,0.3221940258860445,0.8673885918412317,0.9651010951972968,0.8636943111978077,0.5779453624164602,20,8,8,0,0.6599164838988864,0.5713090890706584,0.3221940258860445,73.83
HIGH,0.684747746754764,0.7154192559030437,0.7647336865075876,0.6000648601964913,0.466822519696377,0.7905224704325298,1.0,0.5012823542374872,0.4513299979251616,19,8,8,0,0.7154192559030437,0.7647336865075876,0.466822519696377,80.66
LOW,0.2856793982566527,0.3530250036078576,0.33000871836258017,0.47189164628433944,0.17945940989305242,0.06476189633503361,0.0,0.2604254361517141,0.06338404552345396,4,8,0,8,0.3530250036078576,0.33000871836258017,0.17945940989305242,0.0
HIGH,0.5398722062881146,0.4763413030860807,0.5750431347694741,0.5818072337131363,0.4055379623345356,0.6210875861572298,0.7869787292886107,0.18797931267347118,0.5565224302468459,14,7,6,1,0.4763413030860807,0.5750431347694741,0.4055379623345356,61.65
LOW,0.1337625040911746,0.14482181865586916,0.1945731509212429,0.15209941402038007,0.14664022342396887,0.10881971434325063,0.11543920845561413,0.08203885861685416,0.11574208773255659,2,10,1,9,0.14482181865586916,0.1945731509212429,0.14664022342396887,5.0
HIGH,0.6882457832671869,0.7546073066291127,0.5288009535828544,0.5845279970212061,0.3335535085427487,0.6588422622345402,0.7133107104121357,0.5143471119689647,0.6399320679673289,14,7,5,2,0.7546073066291127,0.5288009535828544,0.3335535085427487,73.39
LOW,0.19308620652738606,0.30137307769293786,0.2004563392021148,0.1260943486211891,0.0757203093492967,0.02991042701145493,0.022335618492198065,0.011186614626634762,0.07135866495404568,3,10,0,10,0.30137307769293786,0.2004563392021148,0.0757203093492967,0.0
HIGH,0.5959456060842465,0.6339213731613027,0.5854586740292284,0.4494731400164441,0.5099916234158209,0.7039298983792861,0.8515999429753015,0.5432199523252891,0.42162971064523724,16,7,6,1,0.6339213731613027,0.5854586740292284,0.5099916234158209,70.74
MEDIUM,0.49343062247146124,0.5990835549137146,0.4660077304023109,0.3752819971238027,0.45212367738722115,0.48395081301072146,0.5002767741854118,0.5729184889154754,0.34600525358189643,11,8,4,4,0.5990835549137146,0.4660077304023109,0.45212367738722115,51.74
HIGH,0.7069381135132778,0.7197533609786438,0.7930373261105887,0.63928523089189,0.52816371672112,0.7713140604137313,0.8979309721636916,0.7127816422915108,0.44999574328607134,10,5,4,1,0.7197533609786438,0.7930373261105887,0.52816371672112,74.48
HIGH,0.6706808413351237,0.8256593343294851,0.7591603109277076,0.5937135520277935,0.5042474341796823,0.7535335067195498,0.867433741091974,0.593127232391981,0.5722390779298459,17,9,8,1,0.8256593343294851,0.7591603109277076,0.5042474341796823,83.68
MEDIUM,0.4507606874834722,0.6585745856111388,0.4686070668934942,0.565417848011966,0.32468449905575136,0.5059088288560332,0.6371165642994695,0.33864336112146165,0.27955109026029545,10,6,4,2,0.6585745856111388,0.4686070668934942,0.32468449905575136,43.95
MEDIUM,0.5234983092660078,0.5767451281710821,0.6103212696216807,0.5528208218449863,0.3378239431306363,0.5109631109270897,0.6180948368963044,0.28826538889071746,0.4122656550558179,6,4,2,2,0.5767451281710821,0.6103212696216807,0.3378239431306363,39.63
LOW,0.336386222981391,0.4080010215391259,0.27882780431860776,0.21618594649811923,0.0,0.17623477201721674,0.13478053904808387,0.34204150122474025,0.1347907417170918,4,7,1,6,0.4080010215391259,0.27882780431860776,0.0,6.29
MEDIUM,0.4619372967618886,0.4550492446162047,0.525201786497095,0.4895089148607728,0.3901887095441217,0.4730535976786294,0.4467441576653861,0.5295630816821096,0.495472433714879,7,6,3,3,0.4550492446162047,0.525201786497095,0.3901887095441217,54.86
HIGH,0.8403821392066556,0.8049792822552809,0.9567857853083125,0.8509010045510917,0.6140903797769284,0.8029422506000342,1.0,0.5776459045111658,0.437065348489005,17,7,7,0,0.8049792822552809,0.9567857853083125,0.6140903797769284,79.27
HIGH,0.6461228682382256,0.7379478810969107,0.4545820438461879,0.5831976062298921,0.2836391926433477,0.745946182648094,0.8339016426908838,0.6995331802217887,0.5284928049460295,16,7,6,1,0.7379478810969107,0.4545820438461879,0.2836391926433477,72.62
MEDIUM,0.5348219569078861,0.5878352345387249,0.5656249919203742,0.5793446323279872,0.40401716991638625,0.6323028331636658,0.8552609954096602,0.332581165789498,0.26315001379985076,8,6,5,1,0.5878352345387249,0.5656249919203742,0.40401716991638625,57.84
MEDIUM,0.3883474752275772,0.3172436901691037,0.3826930446954115,0.4150910855073943,0.27695743851452015,0.44485511172734715,0.4351697083855431,0.5300369128039927,0.3887295206761137,8,8,3,5,0.3172436901691037,0.3826930446954115,0.27695743851452015,35.89
HIGH,0.5551872740584952,0.5497488535797428,0.5761501390244457,0.48321169113947493,0.40761543112469095,0.7935667643495394,0.7836142011793769,0.9172372200024342,0.6997539982071318,18,7,5,2,0.5497488535797428,0.5761501390244457,0.40761543112469095,55.21
LOW,0.17062210798478702,0.08485146627063829,0.22777382659523973,0.33040583044462657,0.0017740036464207187,0.13018946064805867,0.09950439150977688,0.12354483683099304,0.22888929187996968,3,6,1,5,0.08485146627063829,0.22777382659523973,0.0017740036464207187,15.09
LOW,0.1576086247580162,0.02546789290367482,0.05512308821034964,0.12372009624114914,0.058267196045070226,0.20334048711467917,0.29751215453043733,0.12416597198208382,0.0,4,9,3,6,0.02546789290367482,0.05512308821034964,0.058267196045070226,17.01
MEDIUM,0.3736061660277317,0.41689669489209424,0.4346402846146866,0.40945411514262803,0.09296458448093137,0.4726974042046849,0.6307051659892376,0.14313838966512016,0.3282331333905916,8,5,3,2,0.41689669489209424,0.4346402846146866,0.09296458448093137,37.84
LOW,0.27138201364823994,0.29071357538238,0.22226386953680816,0.38747632156992506,0.1459021673967937,0.15777536653342147,0.20385292087651216,0.1268913447678601,0.05042672526971092,3,9,2,7,0.29071357538238,0.22226386953680816,0.1459021673967937,9.03
LOW,0.0959413947487567,0.0,0.22481635434970826,0.2998876309573169,0.02663204977919649,0.029210753278630423,0.0,0.06895160238040562,0.07710216401274647,0,8,0,8,0.0,0.22481635434970826,0.02663204977919649,0.0
MEDIUM,0.2706713256216832,0.32660706415727425,0.4348861241773545,0.284428152216648,0.15573741172832764,0.43029386284989224,0.5286995178388718,0.47305135339371224,0.09231940733913381,9,8,4,4,0.32660706415727425,0.4348861241773545,0.15573741172832764,39.33
HIGH,0.8667887611119519,0.7784895052893913,0.9137694944561753,0.8923407822152503,0.519847407991888,0.8292447660729587,0.9141916891709553,0.8925037673663201,0.511144995485608,16,5,5,0,0.7784895052893913,0.9137694944561753,0.519847407991888,86.53
HIGH,0.6918412230314879,0.5553890457502465,0.5625885558858337,0.7304065698735299,0.4320169865050734,0.6948229071835199,0.6948204526543547,0.806968807321627,0.5826843706329088,13,7,5,2,0.5553890457502465,0.5625885558858337,0.4320169865050734,75.48
HIGH,0.9382602282684073,0.9718753161664022,0.9692764795693685,0.924905993859722,0.7384597465079641,0.8475613399552244,0.9500068160998523,0.900345001713039,0.4874412497635259,17,7,7,0,0.9718753161664022,0.9692764795693685,0.7384597465079641,100.0
HIGH,0.6541159506850699,0.6201340524616226,0.6792421285946538,0.6344550306840377,0.5530865307935379,0.6200684961585353,0.7198578167504763,0.4846589906166211,0.45611003992462656,9,3,2,1,0.6201340524616226,0.6792421285946538,0.5530865307935379,58.69
MEDIUM,0.5835559069992317,0.5639510549039755,0.5010908093775394,0.5789995437021493,0.5134064970435971,0.349145886215382,0.4036061775827643,0.16788502321571025,0.3670258751129068,8,8,3,5,0.5639510549039755,0.5010908093775394,0.5134064970435971,34.66
HIGH,0.5964921885959359,0.5955254165328745,0.5796369874468833,0.49922091466760543,0.26119673723028625,0.7743431316449287,0.954859922821973,0.5798095235564044,0.4273263662023205,19,8,8,0,0.5955254165328745,0.5796369874468833,0.26119673723028625,62.41
MEDIUM,0.3392536269725679,0.45614793631019424,0.3618605856061116,0.400639006209466,0.12346144696817445,0.37855290383701184,0.38206961870942113,0.43956274334454204,0.30699291971225356,9,9,3,6,0.45614793631019424,0.3618605856061116,0.12346144696817445,28.44
HIGH,0.7777767389084925,0.8423374014640501,0.648186979357151,0.597995254481224,0.6446182570010954,0.7515498339389444,0.9950180074609549,0.4458753960973325,0.3268197512145246,19,8,8,0,0.8423374014640501,0.648186979357151,0.6446182570010954,93.93
HIGH,0.6628283303414304,0.5913778806146414,0.6637444336750827,0.6388871540306099,0.36247304066611963,0.9372651684053304,1.0,1.0,0.6863258420266515,20,6,6,0,0.5913778806146414,0.6637444336750827,0.36247304066611963,92.1
MEDIUM,0.5999598320452533,0.6507895234741554,0.6591609709496001,0.6509123347150301,0.45405102323188784,0.2894712344097668,0.28245833054287256,0.3667242154821114,0.23325696493810497,9,5,1,4,0.6507895234741554,0.6591609709496001,0.45405102323188784,43.93
HIGH,0.7255213416855875,0.8335713513618,0.7264855961337335,0.7417451238374098,0.39851780213371285,0.7702073689488937,0.9317593043599072,0.6620771856848835,0.39368174597986433,17,8,7,1,0.8335713513618,0.7264855961337335,0.39851780213371285,92.94
MEDIUM,0.45137345269097595,0.4712764374750626,0.4549104429393118,0.43514033390733214,0.20771869714485441,0.3865538278151203,0.5273422183589607,0.2007803486694973,0.14996213532922242,10,9,5,4,0.4712764374750626,0.4549104429393118,0.20771869714485441,21.81
HIGH,0.7995701385899923,0.884308037701698,0.8816370860208114,0.8026831951421091,0.4751945642160795,0.7508693733015913,0.8133040938113552,0.7189209809500715,0.5955136041238196,21,11,9,2,0.884308037701698,0.8816370860208114,0.4751945642160795,77.41
LOW,0.16808934029891023,0.1854678358837522,0.1519226806677579,0.12185781165269777,0.14295101970622703,0.11613696629278361,0.13952507103072675,0.0371933916274626,0.12491622674427517,2,7,1,6,0.1854678358837522,0.1519226806677579,0.14295101970622703,5.27
LOW,0.1518758876134588,0.26689804280677576,0.05890952659471582,0.0,0.0,0.16083248802737224,0.20349319358920032,0.1030917278032699,0.09059113156599033,3,10,2,8,0.26689804280677576,0.05890952659471582,0.0,8.33
MEDIUM,0.31466630821299435,0.28428178726980274,0.2544349548347047,0.24311862452679206,0.18764021524679203,0.6539066011501427,0.7641227925526758,0.7174773350975041,0.2596872929951823,16,12,9,3,0.28428178726980274,0.2544349548347047,0.18764021524679203,63.49
LOW,0.21310578260461444,0.2423437404160412,0.46741407695401727,0.28120862859219753,0.07844759482808374,0.21469519299175557,0.31627974443310297,0.06381674629156585,0.06081998536790327,4,10,3,7,0.2423437404160412,0.46741407695401727,0.07844759482808374,13.59
HIGH,0.7336583126605434,0.7676555844554354,0.5787009580441101,0.786984126149306,0.4153588768793503,0.7104487358183479,0.7846160691552471,0.6383177512282635,0.5600777203977345,17,7,5,2,0.7676555844554354,0.5787009580441101,0.4153588768793503,64.8
MEDIUM,0.37981510380803996,0.3760881221808928,0.40212424657981904,0.29918366783815636,0.3382988404112508,0.34866401858059426,0.559450355250205,0.0,0.06496902715235628,7,8,4,4,0.3760881221808928,0.40212424657981904,0.3382988404112508,26.38
LOW,0.22255598395101808,0.29836795273888206,0.13366759187761343,0.1287982565189545,0.046456802976974396,0.19879951659724365,0.23467000006024483,0.22449473786464458,0.06549284494083916,2,3,1,2,0.29836795273888206,0.13366759187761343,0.046456802976974396,16.93
MEDIUM,0.40099336472943287,0.40407985456790624,0.3760536582636371,0.48494053357290545,0.21309362474246607,0.3646909955097927,0.4206523060786686,0.4457751077040923,0.11572295160886568,10,9,4,5,0.40407985456790624,0.3760536582636371,0.21309362474246607,29.15
HIGH,0.6377792554705282,0.8026031091124545,0.6197447395322803,0.53561793987291,0.45343743692885224,0.707798795672531,0.8139003839744986,0.49964883043729996,0.597643996001859,15,9,7,2,0.8026031091124545,0.6197447395322803,0.45343743692885224,73.59
LOW,0.34363017565632914,0.3859832482263869,0.45270447262318503,0.19316630141840452,0.20875046809658412,0.09081695126011335,0.09595936924118886,0.11192258611273921,0.05428406246426102,5,8,1,7,0.3859832482263869,0.45270447262318503,0.20875046809658412,9.75
MEDIUM,0.42212768040909177,0.42818474344563845,0.4226090148439775,0.4579936056869445,0.41202012984108194,0.6347993883255207,0.7971090996404995,0.41192401638183335,0.3707456263242722,10,6,5,1,0.42818474344563845,0.4226090148439775,0.41202012984108194,60.57
HIGH,0.721160973279505,0.7920724900449412,0.7604223099990105,0.8171854739402508,0.5337485969913646,0.7060258661094446,0.8715441347543172,0.7171682513866048,0.19832867489766698,12,9,8,1,0.7920724900449412,0.7604223099990105,0.5337485969913646,69.36
HIGH,0.7477529337266795,0.6547586313154851,0.6907847703763644,0.85739621281581,0.47502404045140795,0.8497160741180966,1.0,0.6496160293647308,0.598964341225752,21,11,11,0,0.6547586313154851,0.6907847703763644,0.47502404045140795,80.37
MEDIUM,0.4457267116571891,0.33654737948106384,0.42526014594992323,0.38635134413739414,0.40444447387877575,0.44925487237582845,0.5551917811277884,0.293440850170486,0.28725816832529083,10,8,4,4,0.33654737948106384,0.42526014594992323,0.40444447387877575,29.33
LOW,0.31046792154025304,0.2774809717638746,0.19712055413250312,0.3459729382909014,0.2636645256814458,0.06614746526564326,0.016314169129195245,0.12294817154636063,0.1588466473942699,3,9,0,9,0.2774809717638746,0.19712055413250312,0.2636645256814458,0.0
LOW,0.16973802405295535,0.13111481135498376,0.23938247280653346,0.28807998490689374,0.2982536222971046,0.258115005724243,0.35777694458070863,0.08902658183698163,0.12821761304210746,6,10,4,6,0.13111481135498376,0.23938247280653346,0.2982536222971046,12.92
MEDIUM,0.44288608247688815,0.3845431275669952,0.4097282372100195,0.49359891269558753,0.3103195868538173,0.5084258724966954,0.6010314965302507,0.48401584844043793,0.25501902445228686,13,10,6,4,0.3845431275669952,0.4097282372100195,0.3103195868538173,32.09
HIGH,0.6499255256243084,0.5175178981694937,0.5663220288574042,0.5682419127700427,0.4601651998027692,0.7682547441997364,0.878091959556301,0.5826336064718814,0.6243642358578975,18,9,8,1,0.5175178981694937,0.5663220288574042,0.4601651998027692,79.3
MEDIUM,0.19704559898670687,0.16789053880554997,0.022628793827548954,0.19993039313053051,0.13746862206826024,0.6064698815979728,0.706829841218452,0.5875268785442241,0.32433300579028407,13,7,5,2,0.16789053880554997,0.022628793827548954,0.13746862206826024,40.87
LOW,0.2986136316960768,0.2539919240169229,0.36306792283547684,0.352805741191461,0.1135503604741716,0.24572251833704545,0.3168672953860881,0.16985663453715052,0.1081540709898126,3,6,2,4,0.2539919240169229,0.36306792283547684,0.1135503604741716,14.39
LOW,0.10443748325986021,0.1394384631494498,0.0050970409495888075,0.0881119965047523,0.08407101373930301,0.33960160350808416,0.49341561740707,0.0,0.2177611653192107,5,8,4,4,0.1394384631494498,0.0050970409495888075,0.08407101373930301,13.77
MEDIUM,0.4315577874765579,0.5478818019931545,0.3950400959385801,0.5221365532508977,0.23765373921228822,0.4226194010206159,0.540962223039807,0.13560748954195612,0.35460284644170237,10,11,6,5,0.5478818019931545,0.3950400959385801,0.23765373921228822,30.98
HIGH,0.6770707346447692,0.549647193867047,0.604040495707263,0.6952136183335,0.605850834025478,0.8509838003566546,1.0,0.5326829829858198,0.7222360187974528,17,8,8,0,0.549647193867047,0.604040495707263,0.605850834025478,84.67
HIGH,0.7110395725612219,0.6783729195350883,0.5991907997773138,0.5875495563594553,0.563052189120978,0.7430789747309948,0.877863992793143,0.5307822200687667,0.5510206752067784,18,10,9,1,0.6783729195350883,0.5991907997773138,0.563052189120978,74.5
LOW,0.19329215704487226,0.3196269972834028,0.23285668947070054,0.27118523795239946,0.2595005096127917,0.2632226870765756,0.3356119179685417,0.16140991771126237,0.14786776376599065,4,9,3,6,0.3196269972834028,0.23285668947070054,0.2595005096127917,17.81
LOW,0.12054005448749451,0.22482525991214153,0.1877576675030303,0.23953191766236354,0.057210599772516926,0.07386184024251508,0.06173013904678791,0.07595628029296572,0.10816250377924594,2,8,0,8,0.22482525991214153,0.1877576675030303,0.057210599772516926,0.0
MEDIUM,0.3313647420678473,0.3673901243113523,0.3316134260826982,0.27137967500508586,0.20837238323000778,0.4751301674545706,0.5223736380227167,0.2959689741325807,0.512560949072122,9,8,4,4,0.3673901243113523,0.3316134260826982,0.20837238323000778,17.61
LOW,0.17369265755436472,0.1188244434602333,0.28422926502458845,0.16049763552266724,0.2504292852198805,0.163766547216658,0.20740455608604416,0.10372278364215767,0.09289628418299993,6,8,2,6,0.1188244434602333,0.28422926502458845,0.2504292852198805,0.0
HIGH,0.6456829168943886,0.6468451474493941,0.7008912708755096,0.6835298927365866,0.41355345053801496,0.8745393013522315,0.981523495459341,0.8560390806305462,0.572086939752588,22,10,10,0,0.6468451474493941,0.7008912708755096,0.41355345053801496,80.74
MEDIUM,0.46327357470944136,0.4633807624498003,0.5811098604846073,0.2672038044262344,0.18252308528065195,0.3325226396491697,0.37193943604384455,0.2773478704862389,0.2694470196280764,5,5,2,3,0.4633807624498003,0.5811098604846073,0.18252308528065195,34.21
LOW,0.3801741947747147,0.34723424135994274,0.3510875315501708,0.28823787499965114,0.07530889501977356,0.1302699784071136,0.18597437763097713,0.00021480167559743136,0.09321195746703922,1,5,1,4,0.34723424135994274,0.3510875315501708,0.07530889501977356,14.98
HIGH,0.7417471958742015,0.6361080771416385,0.8101220542850464,0.6777302601460534,0.5825088285726716,0.7168450986492603,0.8991489058705445,0.37472250018441045,0.5120562754502574,17,9,8,1,0.6361080771416385,0.8101220542850464,0.5825088285726716,77.18
MEDIUM,0.5709012925183871,0.5503689632064068,0.6309110374893426,0.725604771333442,0.5956793648411737,0.34805673716130164,0.3658000178766254,0.16469337776856985,0.47819025440806207,3,6,2,4,0.5503689632064068,0.6309110374893426,0.5956793648411737,30.44
HIGH,0.6897603293388903,0.637715239706443,0.6358233324009296,0.6327733641858736,0.3948812676713289,0.873182660153136,1.0,0.709502214237111,0.6564110865285687,17,7,7,0,0.637715239706443,0.6358233324009296,0.3948812676713289,80.68
HIGH,0.5621990723152134,0.4173495779167818,0.38221637007908477,0.4665703543713652,0.5260349185588125,0.8393531962886589,0.8964451065836516,0.9081127524642348,0.5993179092281051,18,10,9,1,0.4173495779167818,0.38221637007908477,0.5260349185588125,81.44
HIGH,0.6423352707766307,0.687098500425924,0.6876302914626173,0.5983710610862241,0.3373578463165419,0.734470298596685,0.8052697334481382,0.6673011083842924,0.5892411842547178,15,6,5,1,0.687098500425924,0.6876302914626173,0.3373578463165419,73.47
HIGH,0.8551880120122488,0.9573464785880923,0.7750846973917253,0.9898749087752906,0.5455339579530026,0.822981774956889,0.9835898249963543,0.6635973252102177,0.500542074585164,14,4,4,0,0.9573464785880923,0.7750846973917253,0.5455339579530026,81.01
MEDIUM,0.6320151188567098,0.5682622397129746,0.6561727782582515,0.5739837970960717,0.3795621101860179,0.5699145458804913,0.6661742055798058,0.3422923476313175,0.5087577650317214,12,7,5,2,0.5682622397129746,0.6561727782582515,0.3795621101860179,60.02
HIGH,0.6552842342670053,0.6513195272628787,0.6460443239230905,0.5883996650793424,0.524907117445079,0.8718413157580076,0.9520199204462692,0.7687109389811133,0.7344358784701174,20,11,10,1,0.6513195272628787,0.6460443239230905,0.524907117445079,85.25
MEDIUM,0.45280263793374664,0.40482268200423743,0.5824082626646307,0.4818984899611837,0.2951589337431804,0.449087209190307,0.7290427857784566,0.0,0.058307688616165226,10,10,7,3,0.40482268200423743,0.5824082626646307,0.2951589337431804,47.69
HIGH,0.6976766289149633,0.8579573817470707,0.7636125984986323,0.7112531525263882,0.44446824922998046,0.6820759576443762,0.8684341718504485,0.2241604221599965,0.5809168505105393,13,10,9,1,0.8579573817470707,0.7636125984986323,0.44446824922998046,69.09
HIGH,0.6034648805191236,0.6077434106648756,0.4367127081200457,0.6526065155876888,0.4978109233567547,0.6448046883507892,0.879911792957047,0.15385829800309167,0.4304297648797133,10,10,9,1,0.6077434106648756,0.4367127081200457,0.4978109233567547,65.33
HIGH,0.7804570301584837,0.7264479139870068,0.8127733518173326,0.8256938636920111,0.7299425050839405,0.7496592299894281,0.8837646445059704,0.7252088739245223,0.37179334250470775,17,10,9,1,0.7264479139870068,0.8127733518173326,0.7299425050839405,80.42
